id_last_2,xx1_last_2,xx2_last_2,xx3_last_2,id_last_1,xx1_last_1,xx2_last_1,xx3_last_1,id_current,xx1_current,xx2_current,xx3_current,id_next,xx1_next,xx2_next,xx3_next,rs_number_next
232173,0.8,0.2,0.6,232174,0.2,1.0,0.6,232175,0.2,0.0,0.6,232176,0.0,0.2,0.0,0
232174,0.2,1.0,0.6,232175,0.2,0.0,0.6,232176,0.0,0.2,0.0,232177,0.0,0.2,0.6,0
232175,0.2,0.0,0.6,232176,0.0,0.2,0.0,232177,0.0,0.2,0.6,232178,0.0,0.4,0.2,0
232176,0.0,0.2,0.0,232177,0.0,0.2,0.6,232178,0.0,0.4,0.2,232179,0.0,0.4,0.4,0
232177,0.0,0.2,0.6,232178,0.0,0.4,0.2,232179,0.0,0.4,0.4,232180,0.8,0.2,0.6,1
232178,0.0,0.4,0.2,232179,0.0,0.4,0.4,232180,0.8,0.2,0.6,232181,0.0,0.2,0.0,0
232179,0.0,0.4,0.4,232180,0.8,0.2,0.6,232181,0.0,0.2,0.0,232182,0.4,0.4,0.0,0
232180,0.8,0.2,0.6,232181,0.0,0.2,0.0,232182,0.4,0.4,0.0,232183,0.0,0.0,0.8,0
232181,0.0,0.2,0.0,232182,0.4,0.4,0.0,232183,0.0,0.0,0.8,232184,0.0,1.0,1.0,1
232182,0.4,0.4,0.0,232183,0.0,0.0,0.8,232184,0.0,1.0,1.0,232185,0.0,0.4,0.2,0
232183,0.0,0.0,0.8,232184,0.0,1.0,1.0,232185,0.0,0.4,0.2,232186,0.2,0.0,0.4,0
232184,0.0,1.0,1.0,232185,0.0,0.4,0.2,232186,0.2,0.0,0.4,232187,0.2,0.8,1.0,1
232185,0.0,0.4,0.2,232186,0.2,0.0,0.4,232187,0.2,0.8,1.0,232188,0.0,0.8,0.6,0
232186,0.2,0.0,0.4,232187,0.2,0.8,1.0,232188,0.0,0.8,0.6,232189,1.0,0.0,0.8,1
232187,0.2,0.8,1.0,232188,0.0,0.8,0.6,232189,1.0,0.0,0.8,232190,0.4,0.2,1.0,1
